"","Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","day"
"35988",2016-01-01,"SydneyAirport",18.6,26.5,0,11,12.3,"NE",41,"W","ENE",9,28,61,48,1016.4,1013.6,6,4,22.3,25.4,"No","No",1
"35989",2016-01-02,"SydneyAirport",18.1,25.3,0,6.8,3.3,"E",31,"S","SE",6,19,68,57,1013.4,1012.5,7,7,21.1,23.8,"No","No",2
"35990",2016-01-03,"SydneyAirport",19.9,24.3,0,8,0,"SE",56,"SSE","SSE",26,30,65,75,1015.2,1014.5,8,8,22.2,22.5,"No","Yes",3
"35991",2016-01-04,"SydneyAirport",20.2,25.4,3.6,6.4,0.7,"ESE",48,"E","NE",13,20,85,94,1016.9,1016.5,8,8,20.7,18.7,"Yes","Yes",4
"35992",2016-01-05,"SydneyAirport",17.6,21,51.2,0,0,"ESE",54,"ESE","SE",24,31,83,91,1016.9,1014.9,8,8,19.4,19.9,"Yes","Yes",5
"35993",2016-01-06,"SydneyAirport",17.2,19.2,35.6,8,0,"S",63,"SSE","SSE",28,31,94,93,1012.4,1011.7,8,8,18.5,18.1,"Yes","Yes",6
"35994",2016-01-07,"SydneyAirport",16.9,22.3,36.4,2,7.6,"SSW",65,"SSW","SSW",35,39,85,78,1014.1,1015.8,7,7,18.2,19.4,"Yes","No",7
"35996",2016-01-09,"SydneyAirport",18.7,26,0,7,8.6,"E",35,"WNW","ENE",7,26,69,49,1021.9,1018.6,5,6,21.1,25.3,"No","No",9
"35997",2016-01-10,"SydneyAirport",19.1,28.8,0,8,12.2,"NE",50,"NNW","NE",13,30,64,49,1020.3,1017.2,3,1,24,27.7,"No","No",10
"35998",2016-01-11,"SydneyAirport",21.1,34.6,0,9,12.1,"NNE",43,"NNW","NE",13,30,65,44,1013.2,1008.7,1,1,25.9,33.2,"No","No",11
"35999",2016-01-12,"SydneyAirport",23.7,33.6,0,10.6,4.4,"S",70,"NNW","S",13,37,51,84,1010.2,1012.4,6,7,29,23.8,"No","No",12
"36000",2016-01-13,"SydneyAirport",21.1,31.1,0,6,11,"NNE",46,"ESE","ENE",4,28,67,58,1019.6,1015.9,3,1,23.6,27.2,"No","No",13
"36002",2016-01-15,"SydneyAirport",14.3,20.4,27.4,12.2,2.7,"S",69,"WSW","SSE",19,39,92,74,1024.6,1024.1,8,7,14.5,19.4,"Yes","Yes",15
"36003",2016-01-16,"SydneyAirport",14.4,22.9,7,6,7.2,"SSW",52,"SSE","SSE",19,24,65,49,1027,1026.3,7,5,19.4,22.2,"Yes","No",16
"36004",2016-01-17,"SydneyAirport",16.3,25.1,0.4,5.6,11.8,"S",37,"S","SE",24,20,74,48,1025.2,1022.8,6,4,20.6,24,"No","No",17
"36005",2016-01-18,"SydneyAirport",17.2,27.6,0,7,13.5,"ENE",39,"S","ENE",9,24,68,50,1020.6,1017.5,2,2,21.4,25.5,"No","No",18
"36006",2016-01-19,"SydneyAirport",19.1,33.3,0,8,13,"NE",44,"NW","NE",17,24,62,39,1017.3,1012.8,3,3,24.5,32.2,"No","No",19
"36007",2016-01-20,"SydneyAirport",22.2,40.3,0,11.8,10,"S",56,"WNW","NE",9,26,37,27,1012.4,1009.3,1,6,29.1,36.3,"No","No",20
"36008",2016-01-21,"SydneyAirport",23.4,37.8,0,11.6,6.9,"SW",65,"NNW","ENE",7,30,58,32,1010.4,1006.8,5,4,28.1,36.7,"No","Yes",21
"36009",2016-01-22,"SydneyAirport",22.7,26.9,22.8,10.4,1.4,"SSE",43,"SSW","ESE",19,17,90,81,1010.8,1006.1,7,7,24.2,25.8,"Yes","Yes",22
"36010",2016-01-23,"SydneyAirport",22.5,24.7,22.6,3.4,9.5,"SSW",52,"S","SSW",31,39,85,73,1006.9,1008.7,3,6,23.7,23.5,"Yes","No",23
"36011",2016-01-24,"SydneyAirport",20.2,25.3,1,6.6,0.6,"SW",37,"SW","SSE",17,17,82,66,1013.5,1012.1,8,7,21.2,23.6,"No","No",24
"36012",2016-01-25,"SydneyAirport",21.1,25,0,4.6,0,"NE",35,"S","ENE",17,17,85,67,1014.5,1013.3,8,8,22.3,24.3,"No","Yes",25
"36013",2016-01-26,"SydneyAirport",20.1,27.5,17.6,2.4,8.7,"E",37,"NW","E",9,22,88,56,1017.8,1017.2,8,4,21.5,26.6,"Yes","Yes",26
"36014",2016-01-27,"SydneyAirport",20.2,26.4,3.6,9.8,0.5,"NE",48,"NNE","NNE",13,22,72,63,1016.2,1013.9,6,8,23.8,24.4,"Yes","Yes",27
"36015",2016-01-28,"SydneyAirport",21.6,29.4,3.6,5.6,6.7,"NE",41,"N","ENE",19,19,69,60,1008,1004.4,7,7,25,28.5,"Yes","No",28
"36016",2016-01-29,"SydneyAirport",22.1,29.9,0,5,8.2,"NNE",50,"NNE","NE",19,20,69,91,1003.3,1001.7,3,7,26.6,22.1,"No","Yes",29
"36017",2016-01-30,"SydneyAirport",19.7,26.3,6.2,3,3,"WNW",67,"SSW","SSE",13,20,87,86,1004.9,1003,8,7,22.7,24.4,"Yes","Yes",30
"36018",2016-01-31,"SydneyAirport",18.8,31.8,23.8,5.8,10,"N",43,"NW","WNW",13,22,79,22,1004.3,1003.4,1,5,23.2,30.1,"Yes","No",31
"66659",2016-01-01,"MelbourneAirport",20.2,28.7,0,15,2.8,"S",35,"SSW","SSE",19,17,52,37,1013.6,1012.6,7,7,23.1,27.3,"No","No",1
"66660",2016-01-02,"MelbourneAirport",15.7,27.5,0,8,9,"SSE",56,"SW","S",17,35,70,56,1016.5,1012.6,8,5,17.2,24.6,"No","No",2
"66661",2016-01-03,"MelbourneAirport",16.2,28.2,0,8.2,7.8,"SE",41,"SSE","SSE",11,24,64,41,1016.9,1013.7,5,6,19.9,26.7,"No","No",3
"66662",2016-01-04,"MelbourneAirport",14.3,24.5,0,6.4,1.5,"SE",31,"W","ENE",11,15,74,61,1019.3,1017.1,7,7,18,21.6,"No","No",4
"66663",2016-01-05,"MelbourneAirport",14.1,25.6,0.2,4.2,6.6,"NE",37,"W","E",7,9,63,46,1017.5,1014.1,7,7,19.1,24.4,"No","No",5
"66664",2016-01-06,"MelbourneAirport",15.5,25.3,0,5.4,6.1,"S",54,"S","S",17,35,76,56,1017.7,1016.8,7,5,18.5,24.4,"No","No",6
"66665",2016-01-07,"MelbourneAirport",14.6,23.4,0,6.2,11,"SSE",46,"S","S",19,30,71,50,1020.9,1020.5,7,4,18.5,21.7,"No","No",7
"66666",2016-01-08,"MelbourneAirport",13.4,22.8,0,7.4,8.6,"SSE",35,"SSW","S",19,17,60,51,1023.3,1021.7,7,7,16.3,21,"No","No",8
"66667",2016-01-09,"MelbourneAirport",16.1,24.1,0,6.8,8.1,"ESE",37,"SSW","SSE",15,22,75,54,1021.5,1019.9,8,3,16.8,22.4,"No","No",9
"66668",2016-01-10,"MelbourneAirport",15.7,32.1,0,6,10.7,"S",33,"NNE","SSE",9,17,71,26,1017.9,1013.4,5,4,17.5,30.7,"No","No",10
"66669",2016-01-11,"MelbourneAirport",16.7,38.3,0,11.6,6.7,"SSW",76,"N","NW",13,20,22,13,1010.1,1006.2,6,7,29.9,37.4,"No","No",11
"66670",2016-01-12,"MelbourneAirport",15.1,30.3,0.4,7.8,12.2,"S",35,"S","SSE",17,17,70,46,1015.1,1013.9,6,1,19.6,26.3,"No","No",12
"66671",2016-01-13,"MelbourneAirport",15.3,43.6,0,7.6,10.3,"WSW",87,"NE","NW",19,31,33,12,1010.4,1005.3,3,6,30.3,41.3,"No","No",13
"66672",2016-01-14,"MelbourneAirport",16.5,18,0.8,17.6,1.1,"S",54,"SSW","SSW",20,31,73,79,1016.7,1020.8,8,8,16.8,13.9,"No","Yes",14
"66673",2016-01-15,"MelbourneAirport",11.4,19.7,1.4,4.2,5.6,"S",48,"SSE","S",26,30,68,49,1030.4,1029.5,8,7,13.7,18.1,"Yes","No",15
"66674",2016-01-16,"MelbourneAirport",8.7,25,0.6,5.4,13.3,"SSE",33,"SSE","SSE",9,19,56,34,1029.5,1025.5,1,0,15.3,23.1,"No","No",16
"66675",2016-01-17,"MelbourneAirport",12.4,32.8,0,8.6,11.5,"N",57,"N","NE",39,13,38,20,1022.6,1018.7,7,1,22.7,30.7,"No","No",17
"66676",2016-01-18,"MelbourneAirport",20.6,36.5,0,13.6,12.7,"NNE",59,"N","NNE",37,26,19,12,1016,1012.6,2,4,27.9,35.7,"No","No",18
"66677",2016-01-19,"MelbourneAirport",13.3,33.5,0,13.8,7.6,"SSE",31,"S","S",9,13,77,30,1013.7,1009.2,7,6,18.8,32.6,"No","Yes",19
"66678",2016-01-20,"MelbourneAirport",17.5,31,1.8,8.6,5.4,"S",37,"NNE","SSE",13,26,83,58,1010.4,1007.7,8,4,18.6,26.5,"Yes","No",20
